,parameter,counts,counts_H,counts_NH,p_from_H,p_from_NH,priority
1533,기술/Noun,178,72,106,0.00080030233643821,0.0011773330075304884,0.5955056179775281
1534,새/Modifier,178,74,104,0.0008225329568948269,0.0011551191771997245,0.5842696629213483
1535,무시/Noun,178,74,104,0.0008225329568948269,0.0011551191771997245,0.5842696629213483
1536,이제야/Noun,177,157,20,0.00174510370584443,0.00022213830330763935,0.8870056497175142
1537,적절하다/Adjective,177,137,40,0.0015227975012782607,0.0004442766066152787,0.7740112994350282
1538,깨닫다/Verb,177,133,44,0.0014783362603650269,0.0004887042672768066,0.751412429378531
1539,반복/Noun,177,68,109,0.0007558410955249761,0.0012106537530266344,0.615819209039548
1540,공/Modifier,177,70,107,0.000778071715981593,0.0011884399226958703,0.6045197740112994
1541,입장/Noun,177,83,94,0.0009225707489496032,0.001044050025545905,0.5310734463276836
1542,당/Modifier,177,87,90,0.000967031989862837,0.000999622364884377,0.5084745762711864
1543,오그라들다/Verb,176,19,157,0.00021119089433786097,0.0017437856809649687,0.8920454545454546
1544,긴장/Noun,176,134,42,0.0014894515705933353,0.0004664904369460426,0.7613636363636364
1545,게이/Noun,176,47,129,0.0005224195807304982,0.0014327920563342736,0.7329545454545454
1546,어쩔/Adverb,176,57,119,0.0006335726830135829,0.001321722904680454,0.6761363636363636
1547,외국/Noun,176,57,119,0.0006335726830135829,0.001321722904680454,0.6761363636363636
1548,예/Modifier,176,97,79,0.0010781850921459217,0.0008774462980651753,0.5511363636363636
1549,첫/Modifier,176,88,88,0.0009781473000911455,0.000977408534553613,0.5
1550,언제나/Adverb,175,128,47,0.0014227597092234844,0.0005220250127729525,0.7314285714285714
1551,북한/Noun,175,65,110,0.0007224951648400507,0.0012217606681920164,0.6285714285714286
1552,과는/Josa,175,101,74,0.0011226463330591557,0.0008219117222382655,0.5771428571428572
1553,그린/Noun,175,93,82,0.001033723851232688,0.0009107670435613213,0.5314285714285715
1554,열정/Noun,174,148,26,0.0016450659137896538,0.00028877979429993113,0.8505747126436781
1555,소소하다/Adjective,174,143,31,0.0015894893626481115,0.000344314370126841,0.8218390804597702
1556,빛나다/Verb,174,131,43,0.0014561056399084098,0.00047759735211142456,0.7528735632183908
1557,이루다/Verb,174,126,48,0.0014005290887668675,0.0005331319279383344,0.7241379310344828
1558,불/Noun,174,77,97,0.0008558788875797523,0.0010773707710420508,0.5574712643678161
1559,아픔/Noun,173,146,27,0.0016228352933330369,0.0002998867094653131,0.8439306358381503
1560,창/Noun,173,31,142,0.00034457461707756266,0.0015771819534842392,0.8208092485549133
1561,선생님/Noun,173,129,44,0.0014338750194517929,0.0004887042672768066,0.7456647398843931
1562,병/Noun,173,51,122,0.0005668808216437321,0.0013550436501765998,0.7052023121387283
1563,쇼/Noun,173,55,118,0.000611342062556966,0.001310615989515072,0.6820809248554913
1564,달라/Noun,173,81,92,0.0009003401284929862,0.0010218361952151409,0.5317919075144508
1565,강렬하다/Adjective,172,147,25,0.0016339506035613453,0.0002776728791345492,0.8546511627906976
1566,화나다/Verb,172,30,142,0.00033345930684925416,0.0015771819534842392,0.8255813953488372
1567,짝/Noun,172,34,138,0.00037792054776248805,0.0015327542928227115,0.8023255813953488
1568,양/Modifier,172,52,120,0.0005779961318720405,0.001332829819845836,0.6976744186046512
1569,디즈니/Noun,172,114,58,0.0012671453660271657,0.0006442010795921541,0.6627906976744186
1570,늘/Noun,172,101,71,0.0011226463330591557,0.0007885909767421196,0.5872093023255814
1571,종교/Noun,172,80,92,0.0008892248182646778,0.0010218361952151409,0.5348837209302325
1572,는걸/Noun,172,81,91,0.0009003401284929862,0.001010729280049759,0.5290697674418605
1573,대화/Noun,172,86,86,0.0009559166796345286,0.0009551947042228491,0.5
1574,질리/Noun,171,160,11,0.0017784496365293556,0.00012217606681920164,0.935672514619883
1575,쩝/Adverb,171,28,143,0.0003112286863926372,0.0015882888686496212,0.8362573099415205
1576,극치/Noun,171,28,143,0.0003112286863926372,0.0015882888686496212,0.8362573099415205
1577,까지도/Josa,171,135,36,0.0015005668808216438,0.0003998489459537508,0.7894736842105263
1578,밥/Noun,171,47,124,0.0005224195807304982,0.001377257480507364,0.7251461988304093
1579,희생/Noun,171,112,59,0.0012449147455705488,0.000655307994757536,0.6549707602339181
1580,채우다/Verb,171,74,97,0.0008225329568948269,0.0010773707710420508,0.5672514619883041
1581,외모/Noun,171,95,76,0.0010559544716893048,0.0008441255525690295,0.5555555555555556
1582,방식/Noun,171,87,84,0.000967031989862837,0.0009329808738920852,0.5087719298245614
1583,찡하다/Adjective,170,165,5,0.0018340261876708978,5.5534575826909837e-05,0.9705882352941176
1584,주기도/Noun,170,6,164,6.669186136985083e-05,0.0018215340871226425,0.9647058823529412
1585,노답/Noun,170,14,156,0.0001556143431963186,0.0017326787657995868,0.9176470588235294
1586,빡치다/Adjective,170,27,143,0.00030011337616432876,0.0015882888686496212,0.8411764705882353
1587,남편/Noun,170,55,115,0.000611342062556966,0.0012772952440189263,0.6764705882352942
1588,분노/Noun,170,67,103,0.0007447257852966677,0.0011440122620343426,0.6058823529411764
1589,맡다/Verb,170,74,96,0.0008225329568948269,0.0010662638558766688,0.5647058823529412
1590,대표/Noun,170,75,95,0.0008336482671231354,0.0010551569407112869,0.5588235294117647
1591,흘러가다/Verb,170,75,95,0.0008336482671231354,0.0010551569407112869,0.5588235294117647
1592,형/Noun,170,83,87,0.0009225707489496032,0.0009663016193882312,0.5117647058823529
1593,죄다/Adverb,169,19,150,0.00021119089433786097,0.001666037274807295,0.8875739644970414
1594,싸구려/Noun,169,21,148,0.00023342151479447792,0.001643823444476531,0.8757396449704142
1595,때우다/Verb,169,36,133,0.000400151168219105,0.0014772197169958016,0.7869822485207101
1596,에로/Josa,169,39,130,0.0004334970989040304,0.0014438989714996558,0.7692307692307693
1597,마저/Josa,169,51,118,0.0005668808216437321,0.001310615989515072,0.6982248520710059
1598,헐리우드/Noun,169,52,117,0.0005779961318720405,0.0012995090743496902,0.6923076923076923
1599,춤/Noun,169,96,73,0.0010670697819176133,0.0008108048070728836,0.5680473372781065
1600,지는/Josa,169,93,76,0.001033723851232688,0.0008441255525690295,0.5502958579881657
1601,섬세하다/Adjective,168,146,22,0.0016228352933330369,0.0002443521336384033,0.8690476190476191
1602,풋풋하다/Adjective,168,144,24,0.00160060467287642,0.0002665659639691672,0.8571428571428571
1603,어머니/Noun,168,123,45,0.001367183158081942,0.0004998111824421885,0.7321428571428571
1604,=/Punctuation,168,55,113,0.000611342062556966,0.0012550814136881622,0.6726190476190477
1605,청소년/Noun,168,62,106,0.0006891492341551253,0.0011773330075304884,0.6309523809523809
1606,시각/Noun,168,102,66,0.0011337616432874642,0.0007330564009152098,0.6071428571428571
1607,왕/Noun,168,75,93,0.0008336482671231354,0.001032943110380523,0.5535714285714286
1608,로만/Noun,168,78,90,0.0008669941978080608,0.000999622364884377,0.5357142857142857
1609,타/Modifier,168,80,88,0.0008892248182646778,0.000977408534553613,0.5238095238095238
1610,계/Suffix,168,84,84,0.0009336860591779117,0.0009329808738920852,0.5
1611,제로/Noun,167,16,151,0.00017784496365293555,0.001677144189972677,0.9041916167664671
1612,유발/Noun,167,21,146,0.00023342151479447792,0.0016216096141457672,0.874251497005988
1613,필름/Noun,167,34,133,0.00037792054776248805,0.0014772197169958016,0.7964071856287425
1614,조절/Noun,167,40,127,0.0004446124091323389,0.0014105782260035097,0.7604790419161677
1615,놓치다/Verb,167,125,42,0.001389413778538559,0.0004664904369460426,0.7485029940119761
1616,본인/Noun,167,56,111,0.0006224573727852744,0.0012328675833573983,0.6646706586826348
1617,_/Punctuation,167,106,61,0.001178222884200698,0.0006775218250882999,0.6347305389221557
1618,싸움/Noun,167,66,101,0.0007336104750683592,0.0011217984317035787,0.6047904191616766
1619,이미지/Noun,167,71,96,0.0007891870262099015,0.0010662638558766688,0.5748502994011976
1620,이나/Noun,167,72,95,0.00080030233643821,0.0010551569407112869,0.5688622754491018
1621,열/Modifier,167,84,83,0.0009336860591779117,0.0009218739587267032,0.5029940119760479
1622,미드/Noun,166,111,55,0.0012337994353422404,0.0006108803340960082,0.6686746987951807
1623,실력/Noun,166,57,109,0.0006335726830135829,0.0012106537530266344,0.6566265060240963
1624,학생/Noun,166,95,71,0.0010559544716893048,0.0007885909767421196,0.572289156626506
1625,오래되다/Adjective,166,90,76,0.0010003779205477626,0.0008441255525690295,0.5421686746987951
1626,단지/Noun,166,83,83,0.0009225707489496032,0.0009218739587267032,0.5
1627,조잡하다/Adjective,165,7,158,7.78071715981593e-05,0.0017548925961303507,0.9575757575757575
1628,호러/Noun,165,58,107,0.0006446879932418914,0.0011884399226958703,0.6484848484848484
1629,방금/Noun,165,104,61,0.001155992263744081,0.0006775218250882999,0.6303030303030303
1630,금/Noun,165,61,104,0.0006780339239268168,0.0011551191771997245,0.6303030303030303
1631,라인/Noun,165,63,102,0.0007002645443834338,0.0011329053468689607,0.6181818181818182
1632,깨다/Verb,165,69,96,0.0007669564057532845,0.0010662638558766688,0.5818181818181818
1633,비판/Noun,165,94,71,0.0010448391614609964,0.0007885909767421196,0.5696969696969697
1634,편의/Noun,165,73,92,0.0008114176466665184,0.0010218361952151409,0.5575757575757576
1635,최/Noun,165,86,79,0.0009559166796345286,0.0008774462980651753,0.5212121212121212
1636,굿굿/Noun,164,161,3,0.001789564946757664,3.33207454961459e-05,0.9817073170731707
1637,좋아지다/Verb,164,134,30,0.0014894515705933353,0.000333207454961459,0.8170731707317073
1638,통쾌하다/Adjective,164,128,36,0.0014227597092234844,0.0003998489459537508,0.7804878048780488
1639,심각하다/Adjective,164,43,121,0.0004779583398172643,0.001343936735011218,0.7378048780487805
1640,맨날/Adverb,164,58,106,0.0006446879932418914,0.0011773330075304884,0.6463414634146342
1641,쫌/Noun,164,59,105,0.0006558033034701999,0.0011662260923651065,0.6402439024390244
1642,과의/Josa,164,92,72,0.0010226085410043795,0.0007996978919075016,0.5609756097560976
1643,해석/Noun,164,88,76,0.0009781473000911455,0.0008441255525690295,0.5365853658536586
1644,전문가/Noun,164,87,77,0.000967031989862837,0.0008552324677344115,0.5304878048780488
1645,지구/Noun,164,87,77,0.000967031989862837,0.0008552324677344115,0.5304878048780488
1646,어휴/Exclamation,163,21,142,0.00023342151479447792,0.0015771819534842392,0.8711656441717791
1647,실패/Noun,163,27,136,0.00030011337616432876,0.0015105404624919474,0.8343558282208589
1648,아줌마/Noun,163,46,117,0.0005113042705021897,0.0012995090743496902,0.7177914110429447
1649,닮다/Verb,163,99,64,0.0011004157126025388,0.0007108425705844458,0.6073619631901841
1650,동안/Foreign,163,70,93,0.000778071715981593,0.001032943110380523,0.5705521472392638
1651,동물/Noun,163,92,71,0.0010226085410043795,0.0007885909767421196,0.5644171779141104
1652,담/Noun,163,75,88,0.0008336482671231354,0.000977408534553613,0.5398773006134969
1653,훨/Noun,163,75,88,0.0008336482671231354,0.000977408534553613,0.5398773006134969
1654,다가오다/Verb,162,132,30,0.0014672209501367184,0.000333207454961459,0.8148148148148148
1655,은근/Noun,162,127,35,0.001411644398995176,0.00038874203078836884,0.7839506172839507
1656,심장/Noun,162,126,36,0.0014005290887668675,0.0003998489459537508,0.7777777777777778
1657,바라보다/Verb,162,126,36,0.0014005290887668675,0.0003998489459537508,0.7777777777777778
1658,씁쓸하다/Adjective,162,120,42,0.0013338372273970166,0.0004664904369460426,0.7407407407407407
1659,편하다/Adjective,162,108,54,0.001200453504657315,0.0005997734189306263,0.6666666666666666
1660,따라가다/Verb,162,56,106,0.0006224573727852744,0.0011773330075304884,0.654320987654321
1661,조합/Noun,162,98,64,0.0010893004023742304,0.0007108425705844458,0.6049382716049383
1662,낳다/Verb,162,89,73,0.000989262610319454,0.0008108048070728836,0.5493827160493827
1663,방법/Noun,162,86,76,0.0009559166796345286,0.0008441255525690295,0.5308641975308642
1664,돌다/Verb,162,85,77,0.0009448013694062201,0.0008552324677344115,0.5246913580246914
1665,기르다/Verb,162,80,82,0.0008892248182646778,0.0009107670435613213,0.5061728395061729
1666,없어지다/Verb,161,37,124,0.00041126647844741344,0.001377257480507364,0.7701863354037267
1667,숨다/Verb,161,121,40,0.001344952537625325,0.0004442766066152787,0.7515527950310559
1668,ㄷㄷㄷ/KoreanParticle,161,96,65,0.0010670697819176133,0.0007219494857498279,0.5962732919254659
1669,즈/Modifier,161,92,69,0.0010226085410043795,0.0007663771464113557,0.5714285714285714
1670,인/Suffix,161,70,91,0.000778071715981593,0.001010729280049759,0.5652173913043478
1671,1시간/Number,160,35,125,0.0003890358579907965,0.0013883643956727459,0.78125
1672,늦다/Verb,160,123,37,0.001367183158081942,0.00041095586111913277,0.76875
1673,아이돌/Noun,160,54,106,0.0006002267523286575,0.0011773330075304884,0.6625
1674,한국인/Noun,160,57,103,0.0006335726830135829,0.0011440122620343426,0.64375
1675,입다/Verb,160,59,101,0.0006558033034701999,0.0011217984317035787,0.63125
1676,히어로/Noun,160,97,63,0.0010781850921459217,0.0006997356554190639,0.60625
1677,뽑다/Verb,160,68,92,0.0007558410955249761,0.0010218361952151409,0.575
1678,악/Noun,160,74,86,0.0008225329568948269,0.0009551947042228491,0.5375
1679,팀/Noun,160,80,80,0.0008892248182646778,0.0008885532132305574,0.5
1680,명품/Noun,159,135,24,0.0015005668808216438,0.0002665659639691672,0.8490566037735849
1681,존경/Noun,159,126,33,0.0014005290887668675,0.0003665282004576049,0.7924528301886793
1682,더불다/Verb,159,117,42,0.0013004912967120913,0.0004664904369460426,0.7358490566037735
1683,신나다/Adjective,159,111,48,0.0012337994353422404,0.0005331319279383344,0.6981132075471698
1684,이끌다/Verb,159,94,65,0.0010448391614609964,0.0007219494857498279,0.5911949685534591
1685,꾸다/Verb,159,83,76,0.0009225707489496032,0.0008441255525690295,0.5220125786163522
1686,시트콤/Noun,158,109,49,0.0012115688148856235,0.0005442388431037163,0.689873417721519
1687,어쩔/Modifier,158,50,108,0.0005557655114154236,0.0011995468378612525,0.6835443037974683
1688,성/Noun,158,56,102,0.0006224573727852744,0.0011329053468689607,0.6455696202531646
1689,대부분/Noun,158,60,98,0.0006669186136985083,0.0010884776862074327,0.620253164556962
1690,겁니다/Verb,158,93,65,0.001033723851232688,0.0007219494857498279,0.5886075949367089
1691,국내/Noun,158,87,71,0.000967031989862837,0.0007885909767421196,0.5506329113924051
1692,가깝다/Adjective,158,77,81,0.0008558788875797523,0.0008996601283959393,0.5126582278481012
1693,짠하다/Adjective,157,146,11,0.0016228352933330369,0.00012217606681920164,0.9299363057324841
1694,푹/Noun,157,137,20,0.0015227975012782607,0.00022213830330763935,0.8726114649681529
1695,만족/Noun,157,113,44,0.0012560300557988573,0.0004887042672768066,0.7197452229299363
1696,이니/Josa,157,56,101,0.0006224573727852744,0.0011217984317035787,0.643312101910828
1697,주말/Noun,157,99,58,0.0011004157126025388,0.0006442010795921541,0.6305732484076433
1698,신분/Noun,157,99,58,0.0011004157126025388,0.0006442010795921541,0.6305732484076433
1699,쵝오/Noun,156,151,5,0.0016784118444745793,5.5534575826909837e-05,0.967948717948718
1700,세기/Noun,156,90,66,0.0010003779205477626,0.0007330564009152098,0.5769230769230769
1701,직접/Noun,156,87,69,0.000967031989862837,0.0007663771464113557,0.5576923076923077
1702,분명/Noun,156,73,83,0.0008114176466665184,0.0009218739587267032,0.532051282051282
1703,거슬리다/Verb,155,35,120,0.0003890358579907965,0.001332829819845836,0.7741935483870968
1704,전개도/Noun,155,54,101,0.0006002267523286575,0.0011217984317035787,0.6516129032258065
1705,30/Number,155,98,57,0.0010893004023742304,0.0006330941644267721,0.632258064516129
1706,의리/Noun,155,89,66,0.000989262610319454,0.0007330564009152098,0.5741935483870968
1707,미모/Noun,155,88,67,0.0009781473000911455,0.0007441633160805918,0.567741935483871
1708,줍다/Verb,155,72,83,0.00080030233643821,0.0009218739587267032,0.535483870967742
1709,짝퉁/Noun,154,7,147,7.78071715981593e-05,0.0016327165293111491,0.9545454545454546
1710,개뿔/Noun,154,7,147,7.78071715981593e-05,0.0016327165293111491,0.9545454545454546
1711,양심/Noun,154,28,126,0.0003112286863926372,0.0013994713108381278,0.8181818181818182
1712,????/Punctuation,154,36,118,0.000400151168219105,0.001310615989515072,0.7662337662337663
1713,누군가/Noun,154,118,36,0.0013116066069403997,0.0003998489459537508,0.7662337662337663
1714,그거/Noun,154,45,109,0.0005001889602738813,0.0012106537530266344,0.7077922077922078
1715,개념/Noun,154,49,105,0.0005446502011871152,0.0011662260923651065,0.6818181818181818
1716,이자/Noun,154,103,51,0.0011448769535157726,0.0005664526734344803,0.6688311688311688
1717,시원하다/Adjective,154,103,51,0.0011448769535157726,0.0005664526734344803,0.6688311688311688
1718,으로만/Josa,154,55,99,0.000611342062556966,0.0010995846013728146,0.6428571428571429
1719,끼/Noun,154,58,96,0.0006446879932418914,0.0010662638558766688,0.6233766233766234
1720,돌아오다/Verb,154,93,61,0.001033723851232688,0.0006775218250882999,0.6038961038961039
1721,민망하다/Adjective,153,16,137,0.00017784496365293555,0.0015216473776573296,0.8954248366013072
1722,망/Noun,153,19,134,0.00021119089433786097,0.0014883266321611835,0.8758169934640523
1723,연예인/Noun,153,27,126,0.00030011337616432876,0.0013994713108381278,0.8235294117647058
1724,도안/Noun,153,38,115,0.00042238178867572195,0.0012772952440189263,0.7516339869281046
1725,해내다/Verb,153,114,39,0.0012671453660271657,0.0004331696914498967,0.7450980392156863
1726,가요/Noun,153,39,114,0.0004334970989040304,0.0012661883288535441,0.7450980392156863
1727,전반/Noun,153,49,104,0.0005446502011871152,0.0011551191771997245,0.6797385620915033
1728,진리/Noun,153,101,52,0.0011226463330591557,0.0005775595885998623,0.6601307189542484
1729,이정/Noun,153,60,93,0.0006669186136985083,0.001032943110380523,0.6078431372549019
1730,이란/Noun,153,91,62,0.001011493230776071,0.000688628740253682,0.5947712418300654
1731,에피소드/Noun,153,70,83,0.000778071715981593,0.0009218739587267032,0.5424836601307189
1732,애기/Noun,153,74,79,0.0008225329568948269,0.0008774462980651753,0.5163398692810458
1733,돌아보다/Verb,152,143,9,0.0015894893626481115,9.99622364884377e-05,0.9407894736842105
1734,의외로/Adverb,152,129,23,0.0014338750194517929,0.0002554590488037852,0.8486842105263158
1735,여행/Noun,152,104,48,0.001155992263744081,0.0005331319279383344,0.6842105263157895
1736,향/Noun,152,100,52,0.0011115310228308473,0.0005775595885998623,0.6578947368421053
1737,19/Number,152,56,96,0.0006224573727852744,0.0010662638558766688,0.631578947368421
1738,레알/Noun,152,63,89,0.0007002645443834338,0.000988515449718995,0.5855263157894737
1739,생활/Noun,152,87,65,0.000967031989862837,0.0007219494857498279,0.5723684210526315
1740,찝찝하다/Adjective,151,30,121,0.00033345930684925416,0.001343936735011218,0.8013245033112583
1741,사기/Noun,151,33,118,0.0003668052375341796,0.001310615989515072,0.7814569536423841
1742,과장/Noun,151,51,100,0.0005668808216437321,0.0011106915165381968,0.6622516556291391
1743,스스로/Noun,151,86,65,0.0009559166796345286,0.0007219494857498279,0.5695364238410596
1744,쩌/Noun,151,79,72,0.0008781095080363693,0.0007996978919075016,0.5231788079470199
1745,봣는데/Noun,151,79,72,0.0008781095080363693,0.0007996978919075016,0.5231788079470199
1746,단/Modifier,151,72,79,0.00080030233643821,0.0008774462980651753,0.5231788079470199
1747,테러/Noun,151,78,73,0.0008669941978080608,0.0008108048070728836,0.5165562913907285
1748,가득하다/Adjective,151,76,75,0.0008447635773514439,0.0008330186374036475,0.5033112582781457
1749,신다/Verb,151,76,75,0.0008447635773514439,0.0008330186374036475,0.5033112582781457
1750,라지/Noun,150,18,132,0.0002000755841095525,0.0014661128018304197,0.88
1751,날리다/Verb,150,30,120,0.00033345930684925416,0.001332829819845836,0.8
1752,갈등/Noun,150,95,55,0.0010559544716893048,0.0006108803340960082,0.6333333333333333
1753,하나로/Noun,150,88,62,0.0009781473000911455,0.000688628740253682,0.5866666666666667
1754,한참/Noun,150,62,88,0.0006891492341551253,0.000977408534553613,0.5866666666666667
1755,헐리웃/Noun,150,66,84,0.0007336104750683592,0.0009329808738920852,0.56
1756,막히다/Verb,150,84,66,0.0009336860591779117,0.0007330564009152098,0.56
1757,로봇/Noun,150,83,67,0.0009225707489496032,0.0007441633160805918,0.5533333333333333
1758,문/Modifier,150,67,83,0.0007447257852966677,0.0009218739587267032,0.5533333333333333
1759,유/Noun,150,68,82,0.0007558410955249761,0.0009107670435613213,0.5466666666666666
1760,근/Modifier,150,76,74,0.0008447635773514439,0.0008219117222382655,0.5066666666666667
1761,낭비하다/Adjective,149,2,147,2.2230620456616944e-05,0.0016327165293111491,0.9865771812080537
1762,단연/Noun,149,128,21,0.0014227597092234844,0.0002332452184730213,0.8590604026845637
1763,무척/Noun,149,114,35,0.0012671453660271657,0.00038874203078836884,0.7651006711409396
1764,성장/Noun,149,110,39,0.001222684125113932,0.0004331696914498967,0.738255033557047
1765,......../Punctuation,149,45,104,0.0005001889602738813,0.0011551191771997245,0.697986577181208
1766,번째/Suffix,149,95,54,0.0010559544716893048,0.0005997734189306263,0.6375838926174496
1767,초등학생/Noun,149,56,93,0.0006224573727852744,0.001032943110380523,0.6241610738255033
1768,연속/Noun,149,59,90,0.0006558033034701999,0.000999622364884377,0.6040268456375839
1769,주변/Noun,149,88,61,0.0009781473000911455,0.0006775218250882999,0.5906040268456376
1770,경험/Noun,149,87,62,0.000967031989862837,0.000688628740253682,0.5838926174496645
1771,한데/Eomi,149,63,86,0.0007002645443834338,0.0009551947042228491,0.5771812080536913
1772,섹시하다/Adjective,149,84,65,0.0009336860591779117,0.0007219494857498279,0.5637583892617449
1773,&/Punctuation,149,81,68,0.0009003401284929862,0.0007552702312459737,0.5436241610738255
1774,오르다/Verb,149,81,68,0.0009003401284929862,0.0007552702312459737,0.5436241610738255
1775,이도/Noun,148,5,143,5.557655114154236e-05,0.0015882888686496212,0.9662162162162162
1776,상/Noun,148,44,104,0.0004890736500455727,0.0011551191771997245,0.7027027027027027
1777,피해자/Noun,148,44,104,0.0004890736500455727,0.0011551191771997245,0.7027027027027027
1778,감히/Noun,148,97,51,0.0010781850921459217,0.0005664526734344803,0.6554054054054054
1779,뒷/Modifier,148,53,95,0.000589111442100349,0.0010551569407112869,0.6418918918918919
1780,김기덕/Noun,148,63,85,0.0007002645443834338,0.0009440877890574672,0.5743243243243243
1781,꽝/Noun,147,8,139,8.892248182646778e-05,0.0015438612079880934,0.9455782312925171
1782,라이/Noun,147,28,119,0.0003112286863926372,0.001321722904680454,0.8095238095238095
1783,편견/Noun,147,103,44,0.0011448769535157726,0.0004887042672768066,0.7006802721088435
1784,베스트/Noun,147,97,50,0.0010781850921459217,0.0005553457582690984,0.6598639455782312
1785,이여/Josa,147,86,61,0.0009559166796345286,0.0006775218250882999,0.5850340136054422
1786,견자단/Noun,147,68,79,0.0007558410955249761,0.0008774462980651753,0.5374149659863946
1787,맨/Noun,147,77,70,0.0008558788875797523,0.0007774840615767377,0.5238095238095238
1788,으로서/Josa,147,76,71,0.0008447635773514439,0.0007885909767421196,0.5170068027210885
1789,사수/Noun,146,132,14,0.0014672209501367184,0.00015549681231534753,0.9041095890410958
1790,허세/Noun,146,18,128,0.0002000755841095525,0.0014216851411688917,0.8767123287671232
1791,와우/Noun,146,125,21,0.001389413778538559,0.0002332452184730213,0.8561643835616438
1792,명성/Noun,146,25,121,0.0002778827557077118,0.001343936735011218,0.8287671232876712
1793,얘/Noun,146,40,106,0.0004446124091323389,0.0011773330075304884,0.726027397260274
1794,올라가다/Verb,146,98,48,0.0010893004023742304,0.0005331319279383344,0.6712328767123288
1795,확/Noun,146,50,96,0.0005557655114154236,0.0010662638558766688,0.6575342465753424
1796,의식/Noun,146,61,85,0.0006780339239268168,0.0009440877890574672,0.5821917808219178
1797,부모/Noun,146,80,66,0.0008892248182646778,0.0007330564009152098,0.547945205479452
1798,아마/Noun,146,78,68,0.0008669941978080608,0.0007552702312459737,0.5342465753424658
1799,검색/Noun,146,78,68,0.0008669941978080608,0.0007552702312459737,0.5342465753424658
1800,성공하다/Adjective,146,69,77,0.0007669564057532845,0.0008552324677344115,0.5273972602739726
1801,카/Noun,146,76,70,0.0008447635773514439,0.0007774840615767377,0.5205479452054794
1802,맥/Noun,146,76,70,0.0008447635773514439,0.0007774840615767377,0.5205479452054794
1803,개막/Noun,145,9,136,0.00010003779205477625,0.0015105404624919474,0.9379310344827586
1804,생생하다/Adjective,145,134,11,0.0014894515705933353,0.00012217606681920164,0.9241379310344827
1805,^/Punctuation,145,102,43,0.0011337616432874642,0.00047759735211142456,0.7034482758620689
1806,연결/Noun,145,50,95,0.0005557655114154236,0.0010551569407112869,0.6551724137931034
1807,영어/Noun,145,59,86,0.0006558033034701999,0.0009551947042228491,0.593103448275862
1808,외계인/Noun,145,64,81,0.0007113798546117422,0.0008996601283959393,0.5586206896551724
1809,뭉클하다/Adjective,144,139,5,0.0015450281217348775,5.5534575826909837e-05,0.9652777777777778
1810,마이너스/Noun,144,7,137,7.78071715981593e-05,0.0015216473776573296,0.9513888888888888
1811,밋밋하다/Adjective,144,18,126,0.0002000755841095525,0.0013994713108381278,0.875
1812,묘/Noun,144,118,26,0.0013116066069403997,0.00028877979429993113,0.8194444444444444
1813,...?/Punctuation,144,54,90,0.0006002267523286575,0.000999622364884377,0.625
1814,만큼은/Josa,144,90,54,0.0010003779205477626,0.0005997734189306263,0.625
1815,쪽/Noun,144,57,87,0.0006335726830135829,0.0009663016193882312,0.6041666666666666
1816,오브/Noun,144,74,70,0.0008225329568948269,0.0007774840615767377,0.5138888888888888
1817,저/Modifier,143,26,117,0.00028899806593602026,0.0012995090743496902,0.8181818181818182
1818,풍경/Noun,143,101,42,0.0011226463330591557,0.0004664904369460426,0.7062937062937062
1819,처/Noun,143,44,99,0.0004890736500455727,0.0010995846013728146,0.6923076923076923
1820,드물다/Adjective,143,98,45,0.0010893004023742304,0.0004998111824421885,0.6853146853146853
1821,무언가/Noun,143,97,46,0.0010781850921459217,0.0005109180976075704,0.6783216783216783
1822,이보/Noun,143,79,64,0.0008781095080363693,0.0007108425705844458,0.5524475524475524
1823,이든/Josa,143,77,66,0.0008558788875797523,0.0007330564009152098,0.5384615384615384
1824,ㅉㅉㅉ/KoreanParticle,142,15,127,0.00016672965342462708,0.0014105782260035097,0.8943661971830986
1825,싸이코/Noun,142,29,113,0.0003223439966209457,0.0012550814136881622,0.795774647887324
1826,만들기/Noun,142,30,112,0.00033345930684925416,0.0012439744985227803,0.7887323943661971
1827,자연스럽다/Adjective,142,112,30,0.0012449147455705488,0.000333207454961459,0.7887323943661971
1828,복잡하다/Adjective,142,92,50,0.0010226085410043795,0.0005553457582690984,0.647887323943662
1829,개성/Noun,142,87,55,0.000967031989862837,0.0006108803340960082,0.6126760563380281
1830,도전/Noun,142,73,69,0.0008114176466665184,0.0007663771464113557,0.5140845070422535
1831,달달/Noun,141,125,16,0.001389413778538559,0.00017771064264611146,0.8865248226950354
1832,어린시절/Noun,141,123,18,0.001367183158081942,0.0001999244729768754,0.8723404255319149
1833,정체/Noun,141,30,111,0.00033345930684925416,0.0012328675833573983,0.7872340425531915
1834,막장드라마/Noun,141,32,109,0.0003556899273058711,0.0012106537530266344,0.7730496453900709
1835,왠/Modifier,141,33,108,0.0003668052375341796,0.0011995468378612525,0.7659574468085106
1836,마이클/Noun,141,91,50,0.001011493230776071,0.0005553457582690984,0.6453900709219859
1837,옆/Noun,141,63,78,0.0007002645443834338,0.0008663393828997934,0.5531914893617021
1838,무지/Noun,141,77,64,0.0008558788875797523,0.0007108425705844458,0.5460992907801419
1839,조/Noun,141,65,76,0.0007224951648400507,0.0008441255525690295,0.5390070921985816
1840,기준/Noun,141,75,66,0.0008336482671231354,0.0007330564009152098,0.5319148936170213
